Grid Size,63
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,5,2.2222139999999797,2.2222210000000047,0,-72.84565,-69.21361149999998,0
0,1,1,4,2.2222289999999845,2.2222209999999905,0,-75.0678715,-66.9913905,0
0,1,0,4,2.2222289999999845,2.2222210000000047,0,-75.0678715,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,6,2.222229000000013,2.2222210000000047,0,-70.62342850000002,-69.21361149999998,0
0,1,1,6,2.222229000000013,2.2222209999999905,0,-70.62342850000002,-66.9913905,0
0,1,1,5,2.2222139999999797,2.2222209999999905,0,-72.84565,-66.9913905,0
0,0,0,6,2.222229000000013,2.2222210000000047,0,-70.62342850000002,-69.21361149999998,0
0,1,1,5,2.2222139999999797,2.2222209999999905,0,-72.84565,-66.9913905,0
0,1,0,5,2.2222139999999797,2.2222210000000047,0,-72.84565,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,7,2.222222000000002,2.2222210000000047,0,-68.40120300000001,-69.21361149999998,0
0,1,1,7,2.222222000000002,2.2222209999999905,0,-68.40120300000001,-66.9913905,0
0,1,1,6,2.222229000000013,2.2222209999999905,0,-70.62342850000002,-66.9913905,0
0,0,0,7,2.222222000000002,2.2222210000000047,0,-68.40120300000001,-69.21361149999998,0
0,1,1,6,2.222229000000013,2.2222209999999905,0,-70.62342850000002,-66.9913905,0
0,1,0,6,2.222229000000013,2.2222210000000047,0,-70.62342850000002,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,8,2.2222210000000047,2.2222210000000047,0,-66.17898149999999,-69.21361149999998,0
0,1,1,8,2.2222210000000047,2.2222209999999905,0,-66.17898149999999,-66.9913905,0
0,1,1,7,2.222222000000002,2.2222209999999905,0,-68.40120300000001,-66.9913905,0
0,0,0,8,2.2222210000000047,2.2222210000000047,0,-66.17898149999999,-69.21361149999998,0
0,1,1,7,2.222222000000002,2.2222209999999905,0,-68.40120300000001,-66.9913905,0
0,1,0,7,2.222222000000002,2.2222210000000047,0,-68.40120300000001,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,9,2.2222209999999976,2.2222210000000047,0,-63.9567605,-69.21361149999998,0
0,1,1,9,2.2222209999999976,2.2222209999999905,0,-63.9567605,-66.9913905,0
0,1,1,8,2.2222210000000047,2.2222209999999905,0,-66.17898149999999,-66.9913905,0
0,0,0,9,2.2222209999999976,2.2222210000000047,0,-63.9567605,-69.21361149999998,0
0,1,1,8,2.2222210000000047,2.2222209999999905,0,-66.17898149999999,-66.9913905,0
0,1,0,8,2.2222210000000047,2.2222210000000047,0,-66.17898149999999,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,10,2.222221999999995,2.2222210000000047,0,-61.734539,-69.21361149999998,0
0,1,1,10,2.222221999999995,2.2222209999999905,0,-61.734539,-66.9913905,0
0,1,1,9,2.2222209999999976,2.2222209999999905,0,-63.9567605,-66.9913905,0
0,0,0,10,2.222221999999995,2.2222210000000047,0,-61.734539,-69.21361149999998,0
0,1,1,9,2.2222209999999976,2.2222209999999905,0,-63.9567605,-66.9913905,0
0,1,0,9,2.2222209999999976,2.2222210000000047,0,-63.9567605,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,11,2.2222250000000088,2.2222210000000047,0,-59.5123155,-69.21361149999998,0
0,1,1,11,2.2222250000000088,2.2222209999999905,0,-59.5123155,-66.9913905,0
0,1,1,10,2.222221999999995,2.2222209999999905,0,-61.734539,-66.9913905,0
0,0,0,11,2.2222250000000088,2.2222210000000047,0,-59.5123155,-69.21361149999998,0
0,1,1,10,2.222221999999995,2.2222209999999905,0,-61.734539,-66.9913905,0
0,1,0,10,2.222221999999995,2.2222210000000047,0,-61.734539,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,12,2.2222249999999875,2.2222210000000047,0,-57.290090500000005,-69.21361149999998,0
0,1,1,12,2.2222249999999875,2.2222209999999905,0,-57.290090500000005,-66.9913905,0
0,1,1,11,2.2222250000000088,2.2222209999999905,0,-59.5123155,-66.9913905,0
0,0,0,12,2.2222249999999875,2.2222210000000047,0,-57.290090500000005,-69.21361149999998,0
0,1,1,11,2.2222250000000088,2.2222209999999905,0,-59.5123155,-66.9913905,0
0,1,0,11,2.2222250000000088,2.2222210000000047,0,-59.5123155,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,13,2.2222210000000118,2.2222210000000047,0,-55.067867500000006,-69.21361149999998,0
0,1,1,13,2.2222210000000118,2.2222209999999905,0,-55.067867500000006,-66.9913905,0
0,1,1,12,2.2222249999999875,2.2222209999999905,0,-57.290090500000005,-66.9913905,0
0,0,0,13,2.2222210000000118,2.2222210000000047,0,-55.067867500000006,-69.21361149999998,0
0,1,1,12,2.2222249999999875,2.2222209999999905,0,-57.290090500000005,-66.9913905,0
0,1,0,12,2.2222249999999875,2.2222210000000047,0,-57.290090500000005,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,14,2.222221999999988,2.2222210000000047,0,-52.845646,-69.21361149999998,0
0,1,1,14,2.222221999999988,2.2222209999999905,0,-52.845646,-66.9913905,0
0,1,1,13,2.2222210000000118,2.2222209999999905,0,-55.067867500000006,-66.9913905,0
0,0,0,14,2.222221999999988,2.2222210000000047,0,-52.845646,-69.21361149999998,0
0,1,1,13,2.2222210000000118,2.2222209999999905,0,-55.067867500000006,-66.9913905,0
0,1,0,13,2.2222210000000118,2.2222210000000047,0,-55.067867500000006,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,15,2.2222210000000047,2.2222210000000047,0,-50.623424500000006,-69.21361149999998,0
0,1,1,15,2.2222210000000047,2.2222209999999905,0,-50.623424500000006,-66.9913905,0
0,1,1,14,2.222221999999988,2.2222209999999905,0,-52.845646,-66.9913905,0
0,0,0,15,2.2222210000000047,2.2222210000000047,0,-50.623424500000006,-69.21361149999998,0
0,1,1,14,2.222221999999988,2.2222209999999905,0,-52.845646,-66.9913905,0
0,1,0,14,2.222221999999988,2.2222210000000047,0,-52.845646,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,16,2.222221999999995,2.2222210000000047,0,-48.40120300000001,-69.21361149999998,0
0,1,1,16,2.222221999999995,2.2222209999999905,0,-48.40120300000001,-66.9913905,0
0,1,1,15,2.2222210000000047,2.2222209999999905,0,-50.623424500000006,-66.9913905,0
0,0,0,16,2.222221999999995,2.2222210000000047,0,-48.40120300000001,-69.21361149999998,0
0,1,1,15,2.2222210000000047,2.2222209999999905,0,-50.623424500000006,-66.9913905,0
0,1,0,15,2.2222210000000047,2.2222210000000047,0,-50.623424500000006,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,17,2.2222210000000118,2.2222210000000047,0,-46.178981500000006,-69.21361149999998,0
0,1,1,17,2.2222210000000118,2.2222209999999905,0,-46.178981500000006,-66.9913905,0
0,1,1,16,2.222221999999995,2.2222209999999905,0,-48.40120300000001,-66.9913905,0
0,0,0,17,2.2222210000000118,2.2222210000000047,0,-46.178981500000006,-69.21361149999998,0
0,1,1,16,2.222221999999995,2.2222209999999905,0,-48.40120300000001,-66.9913905,0
0,1,0,16,2.222221999999995,2.2222210000000047,0,-48.40120300000001,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,18,2.2222209999999976,2.2222210000000047,0,-43.9567605,-69.21361149999998,0
0,1,1,18,2.2222209999999976,2.2222209999999905,0,-43.9567605,-66.9913905,0
0,1,1,17,2.2222210000000118,2.2222209999999905,0,-46.178981500000006,-66.9913905,0
0,0,0,18,2.2222209999999976,2.2222210000000047,0,-43.9567605,-69.21361149999998,0
0,1,1,17,2.2222210000000118,2.2222209999999905,0,-46.178981500000006,-66.9913905,0
0,1,0,17,2.2222210000000118,2.2222210000000047,0,-46.178981500000006,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,19,2.2222249999999946,2.2222210000000047,0,-41.7345375,-69.21361149999998,0
0,1,1,19,2.2222249999999946,2.2222209999999905,0,-41.7345375,-66.9913905,0
0,1,1,18,2.2222209999999976,2.2222209999999905,0,-43.9567605,-66.9913905,0
0,0,0,19,2.2222249999999946,2.2222210000000047,0,-41.7345375,-69.21361149999998,0
0,1,1,18,2.2222209999999976,2.2222209999999905,0,-43.9567605,-66.9913905,0
0,1,0,18,2.2222209999999976,2.2222210000000047,0,-43.9567605,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,20,2.2222220000000092,2.2222210000000047,0,-39.512314,-69.21361149999998,0
0,1,1,20,2.2222220000000092,2.2222209999999905,0,-39.512314,-66.9913905,0
0,1,1,19,2.2222249999999946,2.2222209999999905,0,-41.7345375,-66.9913905,0
0,0,0,20,2.2222220000000092,2.2222210000000047,0,-39.512314,-69.21361149999998,0
0,1,1,19,2.2222249999999946,2.2222209999999905,0,-41.7345375,-66.9913905,0
0,1,0,19,2.2222249999999946,2.2222210000000047,0,-41.7345375,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,21,2.2222209999999905,2.2222210000000047,0,-37.2900925,-69.21361149999998,0
0,1,1,21,2.2222209999999905,2.2222209999999905,0,-37.2900925,-66.9913905,0
0,1,1,20,2.2222220000000092,2.2222209999999905,0,-39.512314,-66.9913905,0
0,0,0,21,2.2222209999999905,2.2222210000000047,0,-37.2900925,-69.21361149999998,0
0,1,1,20,2.2222220000000092,2.2222209999999905,0,-39.512314,-66.9913905,0
0,1,0,20,2.2222220000000092,2.2222210000000047,0,-39.512314,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,22,2.2222250000000088,2.2222210000000047,0,-35.0678695,-69.21361149999998,0
0,1,1,22,2.2222250000000088,2.2222209999999905,0,-35.0678695,-66.9913905,0
0,1,1,21,2.2222209999999905,2.2222209999999905,0,-37.2900925,-66.9913905,0
0,0,0,22,2.2222250000000088,2.2222210000000047,0,-35.0678695,-69.21361149999998,0
0,1,1,21,2.2222209999999905,2.2222209999999905,0,-37.2900925,-66.9913905,0
0,1,0,21,2.2222209999999905,2.2222210000000047,0,-37.2900925,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,23,2.222223999999997,2.2222210000000047,0,-32.845645,-69.21361149999998,0
0,1,1,23,2.222223999999997,2.2222209999999905,0,-32.845645,-66.9913905,0
0,1,1,22,2.2222250000000088,2.2222209999999905,0,-35.0678695,-66.9913905,0
0,0,0,23,2.222223999999997,2.2222210000000047,0,-32.845645,-69.21361149999998,0
0,1,1,22,2.2222250000000088,2.2222209999999905,0,-35.0678695,-66.9913905,0
0,1,0,22,2.2222250000000088,2.2222210000000047,0,-35.0678695,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,24,2.2222229999999996,2.2222210000000047,0,-30.6234215,-69.21361149999998,0
0,1,1,24,2.2222229999999996,2.2222209999999905,0,-30.6234215,-66.9913905,0
0,1,1,23,2.222223999999997,2.2222209999999905,0,-32.845645,-66.9913905,0
0,0,0,24,2.2222229999999996,2.2222210000000047,0,-30.6234215,-69.21361149999998,0
0,1,1,23,2.222223999999997,2.2222209999999905,0,-32.845645,-66.9913905,0
0,1,0,23,2.222223999999997,2.2222210000000047,0,-32.845645,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,25,2.222221000000001,2.2222210000000047,0,-28.401199499999997,-69.21361149999998,0
0,1,1,25,2.222221000000001,2.2222209999999905,0,-28.401199499999997,-66.9913905,0
0,1,1,24,2.2222229999999996,2.2222209999999905,0,-30.6234215,-66.9913905,0
0,0,0,25,2.222221000000001,2.2222210000000047,0,-28.401199499999997,-69.21361149999998,0
0,1,1,24,2.2222229999999996,2.2222209999999905,0,-30.6234215,-66.9913905,0
0,1,0,24,2.2222229999999996,2.2222210000000047,0,-30.6234215,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,26,2.222221999999995,2.2222210000000047,0,-26.178978,-69.21361149999998,0
0,1,1,26,2.222221999999995,2.2222209999999905,0,-26.178978,-66.9913905,0
0,1,1,25,2.222221000000001,2.2222209999999905,0,-28.401199499999997,-66.9913905,0
0,0,0,26,2.222221999999995,2.2222210000000047,0,-26.178978,-69.21361149999998,0
0,1,1,25,2.222221000000001,2.2222209999999905,0,-28.401199499999997,-66.9913905,0
0,1,0,25,2.222221000000001,2.2222210000000047,0,-28.401199499999997,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,27,2.2222230000000067,2.2222210000000047,0,-23.9567555,-69.21361149999998,0
0,1,1,27,2.2222230000000067,2.2222209999999905,0,-23.9567555,-66.9913905,0
0,1,1,26,2.222221999999995,2.2222209999999905,0,-26.178978,-66.9913905,0
0,0,0,27,2.2222230000000067,2.2222210000000047,0,-23.9567555,-69.21361149999998,0
0,1,1,26,2.222221999999995,2.2222209999999905,0,-26.178978,-66.9913905,0
0,1,0,26,2.222221999999995,2.2222210000000047,0,-26.178978,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,28,2.2222209999999976,2.2222210000000047,0,-21.734533499999998,-69.21361149999998,0
0,1,1,28,2.2222209999999976,2.2222209999999905,0,-21.734533499999998,-66.9913905,0
0,1,1,27,2.2222230000000067,2.2222209999999905,0,-23.9567555,-66.9913905,0
0,0,0,28,2.2222209999999976,2.2222210000000047,0,-21.734533499999998,-69.21361149999998,0
0,1,1,27,2.2222230000000067,2.2222209999999905,0,-23.9567555,-66.9913905,0
0,1,0,27,2.2222230000000067,2.2222210000000047,0,-23.9567555,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,29,2.2222240000000006,2.2222210000000047,0,-19.512310999999997,-69.21361149999998,0
0,1,1,29,2.2222240000000006,2.2222209999999905,0,-19.512310999999997,-66.9913905,0
0,1,1,28,2.2222209999999976,2.2222209999999905,0,-21.734533499999998,-66.9913905,0
0,0,0,29,2.2222240000000006,2.2222210000000047,0,-19.512310999999997,-69.21361149999998,0
0,1,1,28,2.2222209999999976,2.2222209999999905,0,-21.734533499999998,-66.9913905,0
0,1,0,28,2.2222209999999976,2.2222210000000047,0,-21.734533499999998,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,30,2.222220999999994,2.2222210000000047,0,-17.290088500000003,-69.21361149999998,0
0,1,1,30,2.222220999999994,2.2222209999999905,0,-17.290088500000003,-66.9913905,0
0,1,1,29,2.2222240000000006,2.2222209999999905,0,-19.512310999999997,-66.9913905,0
0,0,0,30,2.222220999999994,2.2222210000000047,0,-17.290088500000003,-69.21361149999998,0
0,1,1,29,2.2222240000000006,2.2222209999999905,0,-19.512310999999997,-66.9913905,0
0,1,0,29,2.2222240000000006,2.2222210000000047,0,-19.512310999999997,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,31,2.222222000000002,2.2222210000000047,0,-15.067867000000003,-69.21361149999998,0
0,1,1,31,2.222222000000002,2.2222209999999905,0,-15.067867000000003,-66.9913905,0
0,1,1,30,2.222220999999994,2.2222209999999905,0,-17.290088500000003,-66.9913905,0
0,0,0,31,2.222222000000002,2.2222210000000047,0,-15.067867000000003,-69.21361149999998,0
0,1,1,30,2.222220999999994,2.2222209999999905,0,-17.290088500000003,-66.9913905,0
0,1,0,30,2.222220999999994,2.2222210000000047,0,-17.290088500000003,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,32,2.222223000000003,2.2222210000000047,0,-12.8456445,-69.21361149999998,0
0,1,1,32,2.222223000000003,2.2222209999999905,0,-12.8456445,-66.9913905,0
0,1,1,31,2.222222000000002,2.2222209999999905,0,-15.067867000000003,-66.9913905,0
0,0,0,32,2.222223000000003,2.2222210000000047,0,-12.8456445,-69.21361149999998,0
0,1,1,31,2.222222000000002,2.2222209999999905,0,-15.067867000000003,-66.9913905,0
0,1,0,31,2.222222000000002,2.2222210000000047,0,-15.067867000000003,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,33,2.2222209999999993,2.2222210000000047,0,-10.6234225,-69.21361149999998,0
0,1,1,33,2.2222209999999993,2.2222209999999905,0,-10.6234225,-66.9913905,0
0,1,1,32,2.222223000000003,2.2222209999999905,0,-12.8456445,-66.9913905,0
0,0,0,33,2.2222209999999993,2.2222210000000047,0,-10.6234225,-69.21361149999998,0
0,1,1,32,2.222223000000003,2.2222209999999905,0,-12.8456445,-66.9913905,0
0,1,0,32,2.222223000000003,2.2222210000000047,0,-12.8456445,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,34,2.2222219999999995,2.2222210000000047,0,-8.401201,-69.21361149999998,0
0,1,1,34,2.2222219999999995,2.2222209999999905,0,-8.401201,-66.9913905,0
0,1,1,33,2.2222209999999993,2.2222209999999905,0,-10.6234225,-66.9913905,0
0,0,0,34,2.2222219999999995,2.2222210000000047,0,-8.401201,-69.21361149999998,0
0,1,1,33,2.2222209999999993,2.2222209999999905,0,-10.6234225,-66.9913905,0
0,1,0,33,2.2222209999999993,2.2222210000000047,0,-10.6234225,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,35,2.2222230000000005,2.2222210000000047,0,-6.1789784999999995,-69.21361149999998,0
0,1,1,35,2.2222230000000005,2.2222209999999905,0,-6.1789784999999995,-66.9913905,0
0,1,1,34,2.2222219999999995,2.2222209999999905,0,-8.401201,-66.9913905,0
0,0,0,35,2.2222230000000005,2.2222210000000047,0,-6.1789784999999995,-69.21361149999998,0
0,1,1,34,2.2222219999999995,2.2222209999999905,0,-8.401201,-66.9913905,0
0,1,0,34,2.2222219999999995,2.2222210000000047,0,-8.401201,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,36,2.2222210000000002,2.2222210000000047,0,-3.9567564999999996,-69.21361149999998,0
0,1,1,36,2.2222210000000002,2.2222209999999905,0,-3.9567564999999996,-66.9913905,0
0,1,1,35,2.2222230000000005,2.2222209999999905,0,-6.1789784999999995,-66.9913905,0
0,0,0,36,2.2222210000000002,2.2222210000000047,0,-3.9567564999999996,-69.21361149999998,0
0,1,1,35,2.2222230000000005,2.2222209999999905,0,-6.1789784999999995,-66.9913905,0
0,1,0,35,2.2222230000000005,2.2222210000000047,0,-6.1789784999999995,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,37,2.2222219999999995,2.2222210000000047,0,-1.7345349999999997,-69.21361149999998,0
0,1,1,37,2.2222219999999995,2.2222209999999905,0,-1.7345349999999997,-66.9913905,0
0,1,1,36,2.2222210000000002,2.2222209999999905,0,-3.9567564999999996,-66.9913905,0
0,0,0,37,2.2222219999999995,2.2222210000000047,0,-1.7345349999999997,-69.21361149999998,0
0,1,1,36,2.2222210000000002,2.2222209999999905,0,-3.9567564999999996,-66.9913905,0
0,1,0,36,2.2222210000000002,2.2222210000000047,0,-3.9567564999999996,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,38,2.222223,2.2222210000000047,0,0.4876874999999999,-69.21361149999998,0
0,1,1,38,2.222223,2.2222209999999905,0,0.4876874999999999,-66.9913905,0
0,1,1,37,2.2222219999999995,2.2222209999999905,0,-1.7345349999999997,-66.9913905,0
0,0,0,38,2.222223,2.2222210000000047,0,0.4876874999999999,-69.21361149999998,0
0,1,1,37,2.2222219999999995,2.2222209999999905,0,-1.7345349999999997,-66.9913905,0
0,1,0,37,2.2222219999999995,2.2222210000000047,0,-1.7345349999999997,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,39,2.2222210000000002,2.2222210000000047,0,2.7099094999999997,-69.21361149999998,0
0,1,1,39,2.2222210000000002,2.2222209999999905,0,2.7099094999999997,-66.9913905,0
0,1,1,38,2.222223,2.2222209999999905,0,0.4876874999999999,-66.9913905,0
0,0,0,39,2.2222210000000002,2.2222210000000047,0,2.7099094999999997,-69.21361149999998,0
0,1,1,38,2.222223,2.2222209999999905,0,0.4876874999999999,-66.9913905,0
0,1,0,38,2.222223,2.2222210000000047,0,0.4876874999999999,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,40,2.2222230000000014,2.2222210000000047,0,4.932131500000001,-69.21361149999998,0
0,1,1,40,2.2222230000000014,2.2222209999999905,0,4.932131500000001,-66.9913905,0
0,1,1,39,2.2222210000000002,2.2222209999999905,0,2.7099094999999997,-66.9913905,0
0,0,0,40,2.2222230000000014,2.2222210000000047,0,4.932131500000001,-69.21361149999998,0
0,1,1,39,2.2222210000000002,2.2222209999999905,0,2.7099094999999997,-66.9913905,0
0,1,0,39,2.2222210000000002,2.2222210000000047,0,2.7099094999999997,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,41,2.2222219999999995,2.2222210000000047,0,7.154354000000001,-69.21361149999998,0
0,1,1,41,2.2222219999999995,2.2222209999999905,0,7.154354000000001,-66.9913905,0
0,1,1,40,2.2222230000000014,2.2222209999999905,0,4.932131500000001,-66.9913905,0
0,0,0,41,2.2222219999999995,2.2222210000000047,0,7.154354000000001,-69.21361149999998,0
0,1,1,40,2.2222230000000014,2.2222209999999905,0,4.932131500000001,-66.9913905,0
0,1,0,40,2.2222230000000014,2.2222210000000047,0,4.932131500000001,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,42,2.222221000000001,2.2222210000000047,0,9.376575500000001,-69.21361149999998,0
0,1,1,42,2.222221000000001,2.2222209999999905,0,9.376575500000001,-66.9913905,0
